關鍵詞語,出現次數
高度,347
啊,344
便,344
點,342
機台,340
分鐘,339
這麼,339
所地區,335
高,332
稍微,331
學,330
同事,329
光師,327
完整,327
習慣,327
起床,325
價格,324
情況,323
》,322
等等,321
小孩,319
原因,319
老花,319
運動,319
Y,317
本人,316
常常,315
畢竟,314
早上,313
盯,313
避免,313
眼鏡行,313
那種,312
患者,312
躺,310
第一次,310
片,309
想到,309
每個,309
YPrtI,308
基本上,307
慢慢,304
兩,302
詢,300
表示,299
這些,298
幫,298
馬,298
歲,296
一起,295
大約,294
《,294
睡覺,293
好好,293
卻,293
棕色,292
久,289
smile,288
主要,285
安排,285
麻藥,285
無法,283
身邊,282
其,282
儀器,282
耐心,281
活動,280
驗光,279
電腦,279
等待,279
健康,278
#,276
準備,276
忠孝,275
搭配,275
適應症,274
尤其,273
適應,272
機器,272
算,271
地方,270
款式,268
黃,268
跑,267
蔡司,267
除,267
藥水,266
怕,266
SmilePro,266
近視度數,265
每次,264
開車,264
技術,263
配,263
喔,263
確定,262
灰色,262
老,261
霧,260
打,260
剛好,260
它,258
保養,258
放,258
才能,257
家,255
接受,255
少,255
7,255
過,254
透明,253
一天,251
錯,249
配鏡,249
本來,249
安心,249
遇到,248
第一,247
參考,247
看清楚,247
越來,247
若,246
嚴重,246
找到,246
好看,246
框,246
出門,244
一開始,244
走,242
硬式,242
便宜,242
且,240
眼藥水,239
手機,239
戴眼鏡,238
各種,238
闆,238
直到,236
影片,235
超過,234
著色,234
路上,234
灰,233
給,232
家人,231
姓名,231
短,230
現,229
狀態,229
記得,228
出來,228
下午,227
程度,227
告知,226
今年,226
還好,226
當時,225
版友,224
75,223
得到,223
心情,222
掉,221
簡單,221
副,221
叫,219
世界,219
並且,219
填,219
SMILE,219
檢測,219
控制,219
一種,219
增加,218
舒適,217
期,217
地,216
如何,216
矽水膠,216
事情,215
反而,215
詳細,215
經過,213
台,213
近,213
突然,213
到手,212
公司,212
至少,212
出,212
太陽,211
消失,211
以下,211
輕,210
差,210
000,210
一年,210
9,209
下來,208
討論,208
看起,208
出現,208
眼,208
而已,207
PrtII,207
※,206
偏乾,205
流程,205
間,204
詢問,204
困擾,203
設計,203
眩光,202
風險,202
仔細,202
些,201
同,200
條件,199
兩眼,199
／,198
那個,198
回到,197
變成,197
超級,197
附近,197
事,197
牌子,196
禮拜,196
幾個,196
滿意,195
日常,195
入手,194
x,194
醫院,194
引述,193
實際,193
最好,192
人員,192
快速,191
發生,190
放心,190
麻煩,190
再次,190
測試,190
一週,189
幾天,189
當然,188
溫柔,188
導致,188
試試,187
重新,187
淺,186
放大,186
全飛,186
騎車,186
眼神,185
每,185
藍光,185
差多,184
混血,184
好多,184
變得,183
搭,183
治療,183
多少,183
散瞳,182
許多,182
另,181
良好,180
考量,180
回去,180
體驗,180
戴過,179
新竹,179
住,179
需求,179
總,179
回,178
接著,178
撐,178
500,177
戴著,177
相當,176
因,176
減少,175
元,175
根本,175
複,175
囉,175
事項,175
感染,174
目鏡,173
痛,173
應症,173
異物感,173
資訊,173
穩定,173
爬,173
選,172
然,171
接下,171
介紹,171
現場,171
保護,170
如題,170
成功,170
螢幕,169
調整,169
能夠,169
取出,168
通常,168
Smile,168
LASIK,168
品質,168
一切,167
關,167
無殘留,167
一眼,167
辦法,167
安全,167
站,167
店員,166
值得,166
穿,166
異物,165
哪,165
地區,165
滿,165
f,164
眼藥,164
之銘言,164
產品,164
戴隱形,163
一片,163
難,163
左,163
同時,162
C,162
大大,161
陳,161
戴起,161
戴上去,161
這邊,161
清潔,161
塑型,160
認為,159
親切,159
必須,159
害怕,159
達,158
功能,157
$,157
進去,156
lt,156
博士,156
小心,156
解釋,155
指示,154
【,154
適感,154
想法,154
推,154
改變,154
】,154
視線,153
消毒,153
第二,153
弧度,152
到底,152
Smilepro,152
順利,151
定期,151
持續,151
進,150
印象,150
低,150
保持,150
符合,149
洗,149
速度,149
張,148
三個,148
墨鏡,148
一款,148
例如,147
矯正,147
擺脫,147
繼續,146
人生,146
研究,146
網路,145
拿到,145
享受,145
漂亮,145
右,145
院長,145
水,145
差異,144
至,144
隨著,144
開,144
出去,143
見,143
期間,143
外圈,143
讚,143
細心,142
幫助,142
一堆,142
測量,142
環境,142
幾年,141
固定,141
變,140
綠點,140
欸,140
當初,139
眼前,139
下定,139
中間,139
08,139
更加,139
小弟,138
還蠻,138
洗澡,138
進步,137
太久,137
外面,137
N,137
近期,137
趕快,137
無散,136
棕,136
內容,136
日期,136
之外,136
送,136
這副,135
看近,135
傷害,135
上面,135
器材,134
光人員,134
手術室,134
09,134
竟然,134
開心,134
配合,134
小姐,133
用眼,133
或者,133
期待,133
前往,132
洗頭,132
萬,132
SMILEPro,132
還沒,132
回答,131
含水量,130
幾,130
一段,130
決心,129
顯色,129
早點,129
者,129
愛,129
距離,128
花紋,128
髮,128
40,128
天,128
麻醉,128
適度,128
女生,127
服務,127
PrtI,127
海昌,127
手,126
如,125
降低,125
偏,125
台南,124
葉威毅,124
離,124
外,124
台北市,124
甚麼,123
PO,123
術室,123
年前,122
其中,122
版,122
範圍,122
疲勞,122
透過,122
一整天,122
處理,122
SMILEPRO,121
｜,121
一盒,121
嘗試,121
包含,121
方法,121
遠視度,121
靈魂,120
黑色,120
提到,120
症狀,120
看過,119
那些,119
濰視,119
貼,119
Lsik,118
去年,118
劑,118
想問,118
吃力,118
止痛,118
隔,117
遺症,117
盡量,117
照顧,117
幫忙,117
寫,117
半年,117
D,117
材質,116
盒,116
白天,116
店,116
花色,116
指出,115
沒特別,115
原來,115
好奇,115
正確,115
情形,115
死,114
視覺,114
數據者,114
處,114
似乎,114
標題,114
唯一,114
保養液,114
意外,114
此,114
上次,113
接近,113
下去,113
早,113
報導,113
追,113
自行,112
至於,112
舒,112
多久,112
仍,112
十分,112
裡面,112
這裡,112
退,111
需,111
揉,111
老花眼,111
更好,111
哪裡,111
誰,111
級,111
配眼鏡,110
還點,110
購買,110
05,110
預算,110
護理師,110
近視度,110
蹤,109
下班,109
前面,109
超,109
即可,109
方面,108
呀,108
照片,108
年紀,108
大部分,108
”,107
遠,107
一位,107
賣,107
新聞,107
寶島,107
67,107
碰到,107
包括,106
一點點,106
以來,106
明,106
位置,106
04,106
花,106
沖,106
要求,105
相信,105
鼻,105
還錯,105
查完,105
9999,105
綠,105
刪除,105
藍,105
步驟,105
深,104
檯,104
起霧,104
女孩,104
重點,104
啥,104
眨眼,104
問問,104
一圈,104
款,104
驗光師,103
保留,103
市場,103
無適,103
確實,103
光明,103
過去,103
未,102
飯,102
剩下,102
線,102
網友,102
方案,102
一家,102
項目,102
逐漸,102
感想,102
科技,102
哈哈,101
可怕,101
能力,101
各,101
昨天,101
類似,101
同樣,101
多年,101
解決,101
忘,101
單眼,101
口罩,101
各項,100
報到,100
眼罩,100
日常生活,100
官網,100
向,100
拜,99
靠,99
真心,99
皆,99
數無散,99
認真,99
壓力,99
作,99
孩子,99
反正,99
哪個,99
紫外,99
出國,99
廣告,98
過度,98
字,98
抗藍光,98
400,97
幾次,97
打算,97
興趣,97
自,97
NTD,97
光,97
瞬間,96
看遠,96
忘記,96
剛剛,96
閉眼,96
講解,96
看著,96
男生,95
想像中,95
身體,95
陪同,95
接觸,95
左右眼,95
拍,95
回購,94
食藥署,94
未來,94
心理,94
完手術,94
近距,94
舊,94
OK,94
覺,94
三天,94
＄,94
描述,93
棒,93
一周,93
拿下,93
泡,93
軟式,93
神奇,93
自由,93
依照,93
600,93
突兀,93
之類,93
臉,93
訂,93
三,93
眼角膜,92
游泳,92
時點,92
網,92
最大,92
貴,92
提升,92
一覺,92
緊,92
聊天,92
更換,92
回來,92
一系列,92
鼓勵,92
兩週,91
整天,91
色,91
疼痛,91
沒人,91
好手,91
正,91
還能,91
父母,91
藍色,90
設備,90
角度,90
全視線,90
第,90
美,90
教,90
思考,90
醫師葉,90
乖乖,89
以為,89
戴上,89
玩,89
便利,89
中心,89
A,89
眼看,89
大多,89
立刻,89
悔,88
離開,88
重,88
@,88
回覆,88
綜合,88
一陣子,88
內圈,88
明亮,88
反應,88
鍍膜,88
外出,87
型,87
衣服,87
妳,87
搞,87
起,87
比起,87
特殊,87
趁,87
即使,87
45,87
漸漸,87
一間,86
調,86
80,86
最新,86
粉色,86
800,86
m,85
個小時,85
眼皮,85
護理,85
應,85
疫情,85
睡醒,85
懂,85
人覺,85
補充,85
進入,85
視,84
往,84
居然,84
那邊,84
這點,84
B,84
著綠點,84
光線,84
奇怪,84
數值,84
敏感,84
眼部,83
焦點,83
告訴,83
下次,83
分別,83
當,83
迅速,83
辦,83
非,83
臺,82
協助,82
膜,82
心裡,82
圖,82
精神,82
名字,81
次,81
這時,81
倒,81
一步,81
全部,81
打電話,81
痛感,81
中國,81
咖啡,81
真正,81
第二天,81
折扣,81
相對,81
對方,81
74,81
而言,80
划算,80
這時候,80
按照,80
成,80
賺,80
小朋友,80
按,80
還想,80
確保,80
女性,80
微微,79
認識,79
眼珠,79
評價,79
稱,79
這段,79
弄,79
旁邊,79
術式,78
勇氣,78
變色,78
檢,78
等到,78
旺盛,78
Q,78
敢,77
定位,77
那天,77
室,77
矯,77
加深,77
亂,77
放空,77
怎樣,76
開刀,76
副作用,76
可惜,76
一半,76
透鏡,76
新色,76
痠,76
帶來,76
遵循,76
閃光,76
桃園,76
白內障,76
美國,76
推出,75
心動,75
稜,75
mm,75
問,75
第一天,75
台上,75
過敏,75
首先,75
強烈,75
黑,75
維持,75
清洗,75
彩色,75
哈哈哈,75
之間,75
55,75
管,75
最高,75
您,75
700,75
韓國,75
努力,75
衛生,75
拿出,74
保存,74
最終,74
缺點,74
麵,74
心中,74
適,74
那樣,74
`,74
看出,74
報告,74
猶豫,74
詢過,74
碰水,74
心,74
上網,74
平時,73
醫師驗,73
第二次,73
耳朵,73
些微,73
團隊,73
樑,73
網膜,73
多人,73
至今,73
眼器,73
執行,73
綠色,73
家裡,73
曾,73
屈臣氏,72
無術,72
狀,72
媽媽,72
據,72
4mm,72
偶爾,72
引導,72
三重,72
此外,72
抓,72
到現,71
差別,71
先去,71
一邊,71
週,71
歡迎,71
分子,71
兩款,71
傳統,71
依視路,71
相同,71
必要,71
文,71
挑,71
儘,71
優惠,71
擦,71
5000,70
髒,70
先生,70
下降,70
發炎,70
三年,70
別人,70
一台,70
騙,70
實戴,70
還覺,70
坐,70
消退,70
信心,70
無夜間,70
之一,69
一小,69
以外,69
高雄,69
三款,69
全程,69
陪,69
老婆,69
保濕,69
這讓,69
中午,69
解,69
表面,69
愛爾康,68
壞,68
待,68
案例,68
機率,68
放射,68
90,68
優點,68
獲得,68
戴久,68
預期,68
鼻子,68
滴,68
受到,68
機,68
日子,68
風格,68
道德,68
如此,68
詢人員,68
周圍,67
R0L0,67
造,67
手術術,67
疼痛感,67
情緒,67
合理,67
因素,67
痛苦,67
早早,67
佩戴,67
十年,66
原,66
走路,66
樣子,66
想想,66
鼓起,66
爬文,66
抱,66
再來,66
畢業,66
爸爸,66
b,66
假日,66
得手,66
根據,65
官方,65
半夜,65
整理,65
第三,65
這間,65
STPRK,65
解答,65
瓣,65
現象,65
從國,65
阿,65
詢時,65
刺痛,65
點眼,65
遠見,65
ok,65
衛教,65
舒緩,65
念頭,65
．,65
同一,65
床上,65
意見,64
滑落,64
前一天,64
提高,64
眼症,64
上下,64
特價,64
行,64
多月,64
這件,64
電話,64
唷,64
●,64
包裝,64
高中,64
軸度,64
60,64
並,63
路,63
07,63
發,63
咖啡色,63
乾淨,63
空間,63
65,63
推銷,63
滑,63
最選擇,63
女,63
一層,63
折,63
光暈,63
女神,63
變化,63
打球,62
兒童,62
多次,62
窗,62
理解,62
動,62
焦,62
飽,62
兩天,62
受,62
查,62
燈,62
漸層,62
藥,62
張開,61
挺,61
然而,61
造型,61
素質,61
隨便,61
數無適,61
方向,61
光源,61
相,61
前陣子,61
自述,61
結婚,61
一支,61
註,61
用到,61
自身,61
附上,61
半小時,60
兩次,60
成為,60
限制,60
功課,60
血清,60
照護,60
拋隱形,60
電視,60
足,60
男,60
記者,60
水晶,60
平均,60
順便,60
厲害,60
否,60
下面,59
笑,59
立即,59
如下,59
自信,59
喝,59
諾貝爾,59
態度,59
妝,59
癒,59
下手,59
開箱,59
帶過,59
沒辦法,59
要點,59
斷,59
進手術室,59
配過,59
申請,59
深色,59
飲料,59
跑片,58
拍照,58
收到,58
鏡架,58
o,58
兩種,58
假,58
旅行,58
價錢,58
經歷,58
比例,58
負擔,58
基弧,58
真好,58
人家,58
大致,58
明明,58
只好,57
室外,57
鈦,57
缺氧,57
破皮,57
主管,57
撞,57
標準,57
家庭,57
戶外,57
消炎,57
融合,57
細菌,56
發文,56
柔和,56
粉,56
老公,56
金,56
疑慮,56
體質,56
量,56
換,56
飛,56
等候,56
真要,56
總結,56
新南,56
配到,56
檢驗,56
═,56
lsik,56
美好,56
為何,55
束縛,55
醫,55
著電腦,55
地點,55
化,55
流汗,55
非球面,55
修,55
護士,55
新北市,55
陸續,55
☆,55
日系,55
專用,54
常,54
│,54
虹膜,54
操作,54
Hoy,54
趕緊,54
R5L5,54
客人,54
想像,54
正式,54
嗨,54
睡眠,54
挑選,54
06,54
走出,54
使,54
更新,53
小小,53
Ｘ,53
Leo,53
緻,53
顯示,53
抗,53
看見,53
葉醫師,53
年齡,53
騎,53
70,53
焦慮,53
分析,53
幸運,53
幸好,53
Ｏ,53
沒用,53
某,53
這幾年,53
前諮詢,52
推薦給,52
其他人,52
頻率,52
揭露,52
豐富,52
細節,52
第三天,52
分,52
充滿,52
普通,52
連鎖,52
生理,52
視野,52
吸引,52
標示,52
等級,52
引起,52
厚,52
物品,52
RL,52
跑步,52
靠近,52
56,51
阿米巴,51
親友,51
成分,51
醒來,51
太多,51
前方,51
關心,51
墊,51
仍然,51
代孕,51
太大,51
失明,51
這幾天,51
出去玩,51
99,51
看清,51
終於,51
防腐,51
藥物,51
邊緣,51
動作,51
即,51
倫,50
產生,50
時期,50
還算,50
癢,50
睜開,50
行程,50
護目鏡,50
一張,50
合,50
含,50
這項,50
一篇,50
兩者,50
夏天,50
哪些,50
兩年,50
紫色,50
看診,50
戴隱眼,50
熬夜,50
結論,50
別,50
帶著,50
美若康,50
數無術,50
薄,49
政府,49
行為,49
一顆,49
蛋白,49
觀察,49
星期,49
令人,49
還看,49
身為,49
這兩款,49
頭暈,49
ㄧ,49
最佳,49
黏,49
上去,49
試戴,49
大片,49
新眼鏡,49
員,49
給予,49
line,49
一名,49
陣子,49
試過,49
加班,49
裡,49
大量,49
戴到,49
拉,48
‧,48
金屬,48
微米,48
輩,48
打出,48
星光,48
900,48
買過,48
使用者,48
細,48
先前,48
公室,48
JINS,48
利用,48
視網,48
原先,48
得知,48
低調,48
疑問,48
負責,48
無論,48
沒錯,48
心機,48
面,48
託,48
誇張,48
腳,48
回饋,48
真覺,48
妹妹,47
加,47
主打,47
停,47
聲音,47
幾秒,47
醫師術,47
一件,47
RxxxLooo,47
彩片,47
束手,47
550,47
處方,47
意思,47
食鹽,47
IG,47
清,47
緩解,47
R50L50,47
意識,47
點麻藥,47
平日,47
危險,47
旅遊,47
一度,47
鍾,47
聯,46
私訊術,46
生日,46
即便,46
理由,46
通知,46
判斷,46
原理,46
運動時,46
燒到,46
價位,46
宜蓁,46
ps,46
男友,46
聽到,46
版上,46
體感,46
濾,46
結,46
忍住,46
內心,46
觀望,46
身上,46
想換,46
濾藍光,46
架,46
書,46
舒適度,46
單純,46
刺激,46
層,46
選項,46
刺痛感,46
國,46
酸,46
鼻墊,46
快樂,46
曾經,46
醫師林,46
成熟,46
此時,46
卡,46
販售,46
剛,45
參加,45
醒,45
烤肉,45
果然,45
時尚,45
貼心,45
消除,45
兩盒,45
淚,45
族群,45
硬,45
客,45
想起,45
嘛,45
一大,45
冬天,45
公分,45
沒事,45
民眾,45
深邃,45
過來,45
商品,45
偏光,45
AO,45
月底,45
二,45
門市,45
焦鏡片,45
流淚,45
皮膚,45
升級,45
厚重,45
洗臉,45
盡,45
房間,45
刮,44
規定,44
市面上,44
沒到,44
拿掉,44
收,44
葉黃素,44
減緩,44
篇文章,44
種類,44
足夠,44
水感,44
一句,44
保固,44
問人,44
塑膠,44
陪伴,44
支持,44
師,44
代表,44
以往,44
閒聊,43
完美,43
想配,43
沒戴,43
每日,43
問過,43
提出,43
好久,43
月牙,43
三次,43
閱讀,43
耶,43
小時候,43
雙,43
淡淡,43
泡泡,43
色系,43
戴護,43
一分,43
動機,43
加入,43
乾燥,43
常見,43
摘下,43
先進,43
打開,43
清晰度,43
一送,43
單,43
經濟,43
板友,43
650,43
國外,43
合作,43
房子,43
用力,43
晶碩,43
友人,43
＋,43
五分,42
忍受,42
移動,42
優缺點,42
繫,42
煩惱,42
哦,42
落差,42
沒關,42
原生,42
組織,42
CP,42
跟術,42
自覺,42
職場,42
琥珀,42
050,42
禮物,42
失敗,42
調查,42
SmrtTrnsPRK,42
咨詢,42
辛苦,42
紀錄,42
兩家,42
本板,42
將,42
抱怨,41
新南大學,41
相比,41
計程車,41
板,41
家中,41
預警,41
空白,41
續,41
神,41
強迫,41
最小,41
真蠻,41
玻璃,41
眼妝,41
初期,41
嬌生,41
眼鏡店,41
新品,41
對來,41
四個,41
神經,41
通路,41
以免,41
好友,41
併,41
450,41
乾脆,41
隨時,41
驚,41
鏡行,41
依賴,41
時要,41
幾分鐘,41
褐色,41
式,41
疾病,41
看板,41
肌肉,41
克,41
當日,41
則,41
爸,40
溫泉,40
點藥,40
留意,40
安全帽,40
畢請,40
兩小時,40
對象,40
褐,40
左營,40
恐怖,40
心眼,40
紋路,40
國家,40
紋,40
朦朧,40
購入,40
受傷,40
刺眼,40
搶,40
愈,40
均,40
這類,40
奧澈,40
寬,40
小字,40
關鍵,40
查看,40
天一,40
色光,40
診所術式,40
酸澀,40
心想,40
帝康,40
豐原,40
標題須,40
醫護,40
完當,40
管理,39
感還,39
增長,39
脹,39
願意,39
上方,39
安全性,39
台中市,39
內容閱,39
擦拭,39
糊糊,39
恪,39
發文前,39
課,39
蘇,39
工程,39
太晚,39
微,39
消費者,39
剩,39
血管,39
用馬賽,39
充足,39
包,39
詢員,39
含水,39
比如,39
周遭,39
同意,39
連結,39
腿,39
連,39
囤,39
除非,39
乾到,39
天生,39
天天,39
絕對,39
系,39
適適合,39
眼視力,39
火鍋,39
總覺,38
肚子,38
顯,38
疑惑,38
真快,38
診,38
知識,38
白色,38
男性,38
戴太陽,38
倒數,38
如同,38
廁所,38
同學,38
將近,38
上皮,38
還多,38
為止,38
每年,38
好吃,38
冷氣,38
李,38
人來,38
依然,38
一連串,38
生手,38
投資,38
測出,38
感動,38
恐懼,38
螺絲,38
平台,38
自殺,38
充分,38
問到,38
吹,38
攜帶,38
格式,38
法規並,38
既然,38
遵醫療,38
台中,38
嗚,38
板主將,38
練習,38
省,37
還些,37
新款,37
友善,37
改成,37
詢當天,37
文時須,37
階段,37
兩間,37
遵照,37
水準,37
底下,37
病人,37
霧感,37
合適,37
薪水,37
無感,37
物感,37
吸收,37
相較,37
適用,37
大幅,37
孕母,37
忙,37
氣質,37
牌,37
慣,37
上個,37
補,37
舒壓,37
〔,37
〕,37
一下子,37
晚餐,37
哭,37
取得,37
水膠,37
交通,37
剛開始,37
謹慎,37
問術,37
五年,37
跳,36
上市,36
難以,36
原價,36
彭,36
追求,36
防止,36
生,36
還以,36
青光眼,36
用品,36
天氣,36
眼淚,36
事件,36
0%,36
簡介,36
拔掉,36
臉書,36
人化,36
緹,36
休假,36
眼白,36
累,36
那時,36
乾夜間,36
詢當,36
一一,36
這兩個,36
詢檢查,36
細胞,36
網查,36
保險,36
服務人員,36
網址,36
哪種,36
色度,36
多多,36
一項,36
提早,36
覺得點,36
女兒,36
理師,36
放棄,36
講話,36
燈光,36
精準,36
到術,36
裸視,35
幸福,35
前三天,35
要換,35
解手,35
角膜炎,35
4%,35
專注,35
王,35
還一點,35
期限,35
多度,35
駕車,35
透亮,35
流行,35
睡前,35
片裝,35
差點,35
可可,35
變形,35
曬,35
講,35
擋,35
學生,35
95,35
Jins,35
完近視,35
詢諮詢,35
食物,35
強調,35
形狀,35
多數,35
近年,35
沒感覺,35
感重,35
傍晚,35
沒覺,35
年底,35
忐忑,35
正面,34
型號,34
代言,34
畢,34
精,34
選手,34
及術,34
照,34
剛完,34
信任,34
老師,34
霧霧,34
森林,34
膜炎,34
點點,34
作者,34
困難,34
類型,34
國中,34
出社,34
深度,34
警方,34
』,34
這一個,34
值,34
清銳,34
親戚,34
聯絡,34
事先,34
收入,34
亮眼,34
UV,34
沾,34
女友,34
條文,34
東,34
計畫,34
抽出,34
文必須,34
逛,34
一路,34
這家,34
還再,34
曖昧,34
若非,34
還請,34
左邊,34
診所諮詢,34
預留,34
評論,34
大力,34
透氧率,34
最快,34
姊姊,34
R00L00,34
手術當,34
萬元,33
派,33
換成,33
還建議,33
引發,33
頗,33
驗,33
040,33
紫,33
用心,33
南大學,33
畫面,33
蓋,33
勉強,33
晚,33
選購,33
詢診,33
知,33
留言,33
0400,33
體,33
作息,33
演唱,33
飲食,33
刀,33
斑部,33
幾家,33
擦乾,33
種,33
視度數,33
金色,33
幹,33
反覆,33
純粹,33
夠,33
前術,33
便利性,33
嚇到,33
嗎還,33
預防,33
精密,33
破,33
之下,33
原廠,33
影像,33
留下,33
『,33
居多,33
看電腦,33
垃圾,33
消費,33
文字,33
手術台,33
多點,33
圖片,33
爸媽,33
－,33
抽,33
提前,32
薦,32
口,32
疲累,32
一份,32
恐,32
品,32
較長,32
進手術,32
殺,32
沒太大,32
眼習,32
人體,32
水梯,32
頻繁,32
變色片,32
出當事,32
解惑,32
掛號,32
破洞,32
退去,32
老人,32
塊,32
十秒,32
半天,32
全新,32
代理,32
接待,32
回收,32
還得,32
實體,32
Ｄ,32
眼影,32
依,32
鐘,32
沒差,32
行動,32
商,32
初次,32
女主角,32
前去,32
脫離,32
作為,32
摘除,32
三峽,32
場合,32
保濕度,32
結帳,32
78,32
看東西,32
怪怪,32
偏大,32
減輕,31
錯誤,31
老實,31
尿酸,31
區執刀,31
配新,31
OPT,31
四年,31
重度,31
踩,31
太棒,31
折射率,31
因人,31
惹,31
味道,31
第一副,31
聚焦,31
真實,31
乾眼症,31
懶,31
法,31
白光,31
太乾,31
刷卡,31
準確,31
美觀,31
駕馭,31
店面,31
人口,31
冷,31
性,31
重量,31
母親,31
水潤,31
旅館,31
棒球,31
程中,31
擺,31
某些,31
8%,31
暫時,31
裏,31
病變,31
秒左右,31
適應期,31
結構,31
85,31
施作,31
實,31
補貨,31
規格,31
·,31
期短,31
出新,31
“,31
液,31
蘇院,31
還滿,31
光學,31
來源,31
融瞳,30
叮嚀,30
幾歲,30
屬,30
合格,30
隱,30
丟掉,30
總共,30
臉型,30
雖,30
知名,30
因為度,30
全,30
仔,30
澀,30
影音,30
上述,30
呦,30
機構,30
大人,30
太太,30
碰,30
排隊,30
生命,30
調節,30
出遊,30
68,30
通過,30
質感,30
三家,30
刮痕,30
板橋,30
事物,30
浪費,30
看來,30
質,30
所謂,30
懷疑,30
眼鏡度,30
理想,30
肯定,30
歐舒適,30
湖大學,30
玩水,30
它們,30
指定,30
無數據,30
時常,30
專家,30
抱歉,30
推坑,29
色彩,29
喜,29
肌瘤,29
光漾,29
宜蓁驗,29
編輯,29
信用卡,29
Prt,29
電影,29
感像,29
切割,29
視界,29
店長,29
性感,29
棉,29
中壢,29
另一半,29
86mm,29
橘色,29
普遍,29
面對,29
家長,29
煙,29
搓,29
個性,29
焦糖,29
溝通,29
智慧,29
感情,29
似,29
氧,29
衝動,29
其餘,29
針對,29
殘留,29
用過,29
自費,29
搓洗,29
現已,29
初,29
台語,29
重配,29
回診時,29
兒子,29
矽水,29
上班族,29
接到,29
經,29
脫,29
茶,29
哪家,29
英文,29
周邊,29
取,29
煮,29
依據,29
參數,29
要動,29
病患,29
捷運,29
變好,29
刷,29
難道,29
組合,29
分泌物,29
遊戲,29
阿姨,29
預約諮詢,29
特地,29
膠框,29
改,29
兩台,29
還來,29
鏡腳,29
還比較,29
因為術,29
